0, 22, 94, 96
0, 21, 70, 73
0, 45, 114, 126
0, 42, 117, 131
0, 34, 111, 128
0, 39, 134, 141
0, 41, 140, 145
0, 40, 142, 140
0, 39, 126, 130
0, 38, 142, 139
0, 27, 0, 0
0, 0, 0, 0
0, 0, 0, 0
17, 0, 105, 84
23, 0, 96, 70
19, 0, 104, 80
0, 0, 69, 64
0, 0, 0, 0
7, 0, 81, 65
0, 0, 0, 0
0, 0, 0, 0
24, 0, 210, 183
29, 0, 186, 161
6, 0, 117, 100
9, 0, 106, 83
17, 0, 101, 85
3, 0, 101, 86
5, 0, 95, 83
14, 0, 114, 88
43, 0, 133, 87
0, 17, 46, 51
35, 0, 79, 45
16, 0, 86, 71
6, 0, 35, 44
0, 22, 78, 85
0, 8, 100, 89
0, 0, 102, 0
0, 0, 80, 0
5, 0, 92, 0
0, 0, 0, 0
12, 0, 126, 101
0, 0, 92, 72
0, 43, 87, 102
0, 39, 91, 111
0, 37, 90, 105
0, 29, 97, 106
0, 39, 134, 136
18, 28, 74, 37
0, 0, 43, 0
0, 18, 29, 50
39, 57, 104, 101
57, 67, 0, 112
0, 0, 0, 0
0, 0, 0, 0
24, 0, 108, 87
20, 0, 142, 120
6, 0, 171, 167
25, 0, 123, 104
32, 0, 118, 92
18, 0, 121, 104
4, 0, 116, 112
25, 0, 135, 123
21, 0, 116, 99
16, 0, 106, 96
15, 0, 78, 59
0, 0, 113, 84
21, 0, 102, 83
0, 0, 96, 52
13, 0, 67, 34
11, 0, 81, 49
10, 0, 53, 30
0, 2, 66, 56
0, 2, 76, 66
3, 0, 85, 58
3, 0, 92, 72
0, 43, 80, 0
0, 42, 92, 106
0, 33, 101, 87
0, 16, 51, 58
0, 53, 127, 142
0, 35, 106, 97
0, 19, 84, 74
0, 28, 89, 83
0, 33, 106, 99
0, 54, 135, 135
0, 55, 135, 138
0, 48, 113, 110
0, 0, 105, 75
90, 0, 174, 147
31, 0, 82, 56
40, 0, 104, 83
0, 0, 120, 90
25, 0, 106, 80
35, 0, 126, 95
0, 0, 109, 82
18, 0, 94, 74
37, 0, 135, 104
23, 0, 93, 67
27, 0, 87, 63
30, 0, 93, 68
20, 0, 130, 99
21, 0, 89, 71
0, 26, 103, 104
0, 33, 125, 129
0, 45, 246, 247
0, 48, 307, 301
0, 63, 425, 419
20, 0, 402, 345
32, 0, 614, 545
0, 54, 430, 452
0, 66, 717, 743
0, 0, 0, 0
0, 0, 0, 276
0, 0, 402, 405
0, 0, 294, 303
0, 0, 276, 286
0, 83, 432, 467
0, 19, 275, 298
0, 67, 321, 321
0, 81, 309, 346
0, 57, 423, 427
0, 51, 479, 457
0, 94, 456, 476
0, 71, 436, 433
0, 45, 315, 309
0, 67, 379, 389
0, 39, 264, 257
0, 64, 385, 389
0, 51, 278, 279
