47, 0, 94, 25
61, 0, 76, 0
72, 0, 109, 22
79, 0, 133, 32
81, 0, 136, 35
74, 0, 98, 3
92, 0, 127, 19
79, 0, 95, 0
116, 0, 149, 8
105, 0, 138, 12
70, 0, 89, 3
247, 0, 273, 13
142, 11, 140, 0
88, 0, 98, 0
100, 0, 122, 6
110, 0, 140, 15
110, 0, 125, 10
174, 0, 185, 6
180, 0, 183, 8
135, 0, 178, 31
107, 0, 134, 18
130, 36, 118, 0
73, 0, 100, 10
0, 0, 0, 0
56, 7, 0, 0
70, 0, 91, 13
67, 32, 42, 0
94, 44, 56, 0
115, 59, 62, 0
123, 70, 39, 0
130, 64, 72, 0
159, 80, 108, 0
178, 88, 66, 0
142, 59, 53, 0
240, 127, 87, 0
195, 89, 64, 0
87, 30, 0, 14
120, 63, 0, 0
94, 34, 0, 0
246, 103, 96, 0
285, 142, 15, 0
158, 82, 71, 0
191, 74, 101, 0
200, 72, 148, 0
215, 52, 146, 0
123, 2, 139, 0
66, 0, 111, 9
117, 0, 203, 32
103, 0, 159, 25
81, 0, 151, 25
65, 0, 114, 15
120, 0, 194, 33
116, 13, 126, 0
123, 36, 101, 0
92, 0, 119, 12
83, 0, 142, 20
96, 0, 116, 8
55, 0, 94, 10
76, 0, 127, 21
64, 0, 106, 18
75, 0, 130, 15
39, 0, 87, 0
75, 0, 141, 24
145, 0, 193, 41
115, 0, 176, 47
160, 0, 231, 35
45, 0, 69, 11
153, 39, 144, 0
207, 10, 217, 0
174, 18, 176, 0
195, 9, 223, 0
88, 0, 119, 3
198, 40, 185, 0
176, 33, 173, 0
160, 16, 170, 0
164, 13, 171, 0
169, 13, 179, 0
113, 21, 111, 0
114, 11, 122, 0
161, 8, 172, 0
136, 17, 139, 0
182, 20, 192, 0
130, 0, 187, 33
190, 0, 270, 50
190, 0, 277, 64
178, 0, 265, 59
215, 0, 346, 104
221, 0, 253, 17
130, 0, 142, 10
214, 0, 249, 43
115, 0, 113, 5
127, 0, 153, 21
138, 0, 177, 37
182, 0, 222, 39
176, 0, 181, 11
112, 0, 136, 16
186, 0, 217, 37
159, 0, 186, 33
110, 0, 132, 11
88, 0, 109, 23
108, 0, 132, 28
151, 0, 184, 41
165, 0, 171, 11
292, 0, 287, 41
213, 0, 219, 30
189, 0, 243, 49
96, 0, 108, 9
86, 3, 88, 0
119, 0, 110, 0
126, 0, 141, 16
182, 0, 242, 43
81, 0, 110, 7
72, 0, 93, 3
105, 0, 137, 21
49, 0, 105, 35
61, 7, 59, 0
67, 0, 138, 41
55, 0, 54, 0
60, 0, 120, 26
136, 0, 171, 30
87, 0, 177, 50
88, 0, 97, 4
119, 0, 184, 52
90, 0, 117, 14
71, 0, 107, 28
99, 0, 121, 10
64, 0, 111, 28
74, 0, 85, 0
65, 0, 105, 25
90, 0, 99, 3
26, 0, 66, 0
76, 0, 92, 6
52, 974, 89, 968
38, 0, 43, 0
67, 5, 86, 0
52, 0, 86, 0
64, 0, 108, 24
65, 0, 84, 2
29, 0, 58, 0
98, 0, 133, 8
76, 0, 122, 23
87, 0, 118, 5
122, 0, 137, 0
88, 0, 108, 16
94, 0, 119, 21
90, 0, 114, 16
75, 0, 102, 20
66, 0, 96, 16
78, 0, 119, 24
90, 0, 112, 13
122, 0, 141, 19
146, 0, 156, 22
88, 0, 118, 29
75, 0, 92, 17
62, 0, 93, 21
105, 0, 150, 40
65, 0, 104, 29
97, 11, 81, 0
110, 0, 132, 20
171, 47, 133, 0
276, 0, 285, 0
250, 0, 279, 23
351, 40, 287, 0
285, 0, 361, 63
361, 0, 385, 8
349, 0, 515, 64
351, 0, 357, 9
342, 41, 307, 0
107, 0, 130, 15
114, 6, 101, 0
125, 0, 162, 29
187, 0, 180, 6
235, 0, 250, 29
212, 0, 249, 46
160, 0, 208, 37
133, 0, 171, 26
158, 0, 177, 15
138, 0, 210, 23
183, 0, 254, 53
503, 0, 559, 52
192, 0, 249, 31
201, 0, 314, 25
227, 0, 311, 33
343, 37, 312, 0
409, 0, 481, 50
224, 0, 278, 12
461, 45, 396, 0
235, 0, 233, 2
